epoch,loss,psnr,r2,val_loss,val_psnr,val_r2
0,30804.3019853,38.0909722122,0.609692348245,23100.3473753,38.3983041208,0.695202080224
1,17377.3091004,39.7742838598,0.784361681422,21954.3248932,38.4982600922,0.714295526979
2,15973.1433317,39.9741613886,0.801936363855,21666.074492,38.5943823799,0.723066454445
3,15404.0407042,40.0827333757,0.809068474969,22236.920569,38.5276835149,0.717741393945
4,15670.858146,40.0128117391,0.805774494907,21121.8683069,38.70188919,0.727886129827
5,14956.911803,40.18484494,0.814404972632,21663.3708276,38.6323328173,0.725595424678
6,14768.1021401,40.2211790285,0.816865143369,22377.2067258,38.4359735417,0.715295488614
7,14348.1009052,40.2837456547,0.822099150768,20445.1055601,38.7348647307,0.73672236665
8,14218.2437153,40.3380272232,0.823620564925,21772.1645077,38.488747557,0.727885424149
9,13963.0204127,40.3777350042,0.82678570935,20772.2799941,38.5866533444,0.733111999295
10,13676.1467725,40.4338502366,0.830473372731,22215.8508666,38.4804708818,0.713069753864
11,13644.9061731,40.4525411409,0.830843304156,20613.4638856,38.7957669859,0.744405133896
12,13574.2127436,40.4766634881,0.831673221559,20541.4483371,38.7640529203,0.742196423939
13,13112.5116649,40.5986829186,0.837302989742,20854.9538239,38.7469696119,0.742380037842
14,13178.1664808,40.563824524,0.836540740408,20257.4953349,38.8492840321,0.747519255375
15,13072.5261082,40.59565198,0.837702802991,21140.9254723,38.6357486692,0.732387574573
16,13203.4586665,40.565506125,0.836211947387,21243.6806688,38.7539156766,0.742331851086
17,13144.5617546,40.5860014852,0.83669316558,21792.7484273,38.4408310427,0.72074376083
18,12982.2984009,40.620707956,0.838960519453,20216.7469878,38.9121065301,0.747862932498
19,12933.4378361,40.6272179993,0.839772923689,21691.3839504,38.424358514,0.726325534352
20,13003.596304,40.6084111024,0.838618464817,20761.6453298,38.7319726112,0.742301434116
21,12486.4900102,40.7515184435,0.845058328357,20348.7450759,38.7783266177,0.743791859759
22,12479.320526,40.7522569178,0.84522617442,22319.0488097,38.4669664959,0.720775025484
23,12580.2971872,40.7205255712,0.843755882093,20713.8208911,38.783228355,0.741696643331
24,12757.8493776,40.6831538894,0.841653908902,20563.2977652,38.7999807195,0.747684146086
25,12364.6121784,40.7906468826,0.846390300237,20958.5862668,38.7745818971,0.745562367086
26,12353.3717791,40.7754785614,0.846584825552,20891.1201567,38.6335156923,0.737698177183
27,12433.4217401,40.7616509063,0.845842311212,20151.103942,38.8437596388,0.752824645121
28,12229.6051975,40.8189235327,0.848471113455,20446.3802983,38.7342332513,0.743729583967
29,12164.4833763,40.8335955323,0.849182596668,20295.3722038,38.8614682208,0.748825122145
30,12058.0437388,40.8673426117,0.850365841998,22270.9006584,38.3977177408,0.719092082523
31,12326.8219424,40.7730942814,0.847039360727,21155.883319,38.5762515888,0.733755661515
32,12231.4951719,40.8111363526,0.848151505045,22251.0254996,38.4553900864,0.723002315389
33,12596.0909575,40.7446926098,0.84381171418,19916.5196237,38.8686827313,0.750395573979
34,12084.7836685,40.8510594082,0.85000416038,20780.9623262,38.771689104,0.743298401187
35,12310.0407082,40.8092641198,0.847283165539,20190.0583375,38.9000282014,0.752785701354
36,11901.4282447,40.8961128963,0.852366510803,19997.5185083,38.8949380309,0.750885618614
37,11934.9437603,40.8791981889,0.852110048181,20085.0677084,38.9159494813,0.75228902187
38,11990.000935,40.8895234062,0.851280951493,20285.1810832,38.8392976708,0.747949151921
39,11846.7055694,40.9159379251,0.853226087621,22382.6700455,38.469144356,0.722017740731
40,11747.550274,40.9476663414,0.854314668379,19735.9134306,38.9196054531,0.754766833927
41,11627.5552649,40.9795507975,0.855825771805,20474.2024214,38.7492855506,0.748065258572
42,11716.2990068,40.9502368764,0.854779185868,20359.3532049,38.8382867716,0.749799734341
43,11533.686524,41.0091582651,0.857083847351,20075.3739268,38.9078175169,0.752204255527
44,11560.3586333,40.9956268808,0.856680208087,21898.4691876,38.5353056402,0.731404003793
45,11542.8501388,40.9980979915,0.856959456241,20128.1062788,38.8375594166,0.748384317596
46,11505.2448383,41.0145537111,0.857318664926,20864.5118845,38.811692463,0.744471794205
47,11644.3966117,40.973950788,0.855489192184,20324.0748185,38.869320879,0.749743254
48,11673.924348,40.9557796041,0.855316493847,21739.4044124,38.5773318447,0.73162027853
49,11706.653529,40.9513156193,0.854804783161,20356.1019586,38.8623452779,0.744192222509
50,11221.4578577,41.1061436314,0.860700765361,20036.0120572,38.8694746351,0.753251856056
51,11444.1884443,41.0341762859,0.857905629653,20489.0448026,38.8623784054,0.749531677048
